threshold,validation_macro_f1
0.0,0.47651501005509855
0.05,0.4792077152362075
0.1,0.4863072286035662
0.15,0.48847451801227426
0.2,0.4924378562595446
0.25,0.4760908533483776
0.3,0.46544331071395045
0.4,0.4061687587589679
0.5,0.3461513230551787
